motif,year,frequency,gradient
blackmail,1940,0.01775599708801648,0.05912517577907283
blackmail,1941,0.0,-0.05859131590922276
blackmail,1946,0.0,0.06357550518741098
blackmail,1949,0.0,-0.044169011141193315
jealousy,1924,0.0,-0.041116392283275495
jealousy,1931,0.0,0.049091770484097935
jealousy,1933,0.060816152770175755,-0.06324424929076092
jealousy,1940,0.08877998544008238,0.05988741166606779
jealousy,1941,0.017756942964699197,-0.05003597138549877
jealousy,1971,0.051186896154584424,0.06540115433037393
jealousy,1975,0.08726612678022899,0.060588356864783
garden,1929,0.20692305418427975,0.2476864592878615
garden,1940,0.14204797670413183,-0.2329395102679736
garden,1962,0.2839900603478878,0.3356640530190177
garden,1964,0.13008492687368753,-0.39856839996652527
garden,1968,0.3524651411975355,0.3240670346042648
study,1925,0.11927322846124283,0.2981747695338899
study,1927,0.141240444201197,-0.31036662501939144
study,1929,0.07390109078009992,0.41753428513907653
study,1931,0.12367436539591255,-0.42261571084739813
study,1951,0.014110741096122368,0.20496965905730774
study,1952,0.03269897325223988,-0.21065566852396417
locked,1934,0.12434331188411203,0.11016580283849763
locked,1935,0.0,-0.10878334244089395
locked,1938,0.01603103608586223,0.12113711141796324
locked,1940,0.0,-0.11109876680368848
locked,1949,0.07073136228603763,0.10920159980343712
key,1938,0.01603103608586223,0.1357572217918557
key,1954,0.09727311046982913,0.1219772999611611
key,1973,0.10466409367436384,0.19253694730322993
frightened,1944,0.12157210093957867,0.09286936590210315
frightened,1945,0.1263024944742659,-0.10171521669626091
frightened,1951,0.028221482192244737,-0.1008357376600231
frightened,1966,0.1791596036438307,0.09513940230105294
frightened,1969,0.14644504649630227,-0.09164093671135924
