title,year,filename,poison,suicide,accident,victim,clue,weapon,knife,accused,guilty,murderer,criminal,butler,servant,enemy,nephew,niece,motive,alibi,blackmail,jealousy,garden,study,locked,key,frightened
The Mysterious Affair at Styles,1920,01_The Mysterious Affair at Styles_1920,0.55311482663801,0.031606561522172005,0.06321312304434401,0.0,0.07901640380543,0.015803280761086003,0.015803280761086003,0.015803280761086003,0.15803280761086,0.268655772938462,0.12642624608868802,0.0,0.09481968456651602,0.0,0.0,0.0,0.04740984228325801,0.110622965327602,0.0,0.06321312304434401,0.04740984228325801,0.06321312304434401,0.39508201902715,0.33186889598280606,0.015803280761086003
The Secret Adversary,1922,02_The Secret Adversary_1922,0.03694399290675336,0.012314664302251121,0.06157332151125561,0.012314664302251121,0.18471996453376682,0.024629328604502242,0.024629328604502242,0.03694399290675336,0.012314664302251121,0.012314664302251121,0.11083197872026009,0.1354613073247623,0.07388798581350672,0.03694399290675336,0.012314664302251121,0.06157332151125561,0.012314664302251121,0.024629328604502242,0.024629328604502242,0.0,0.049258657209004485,0.07388798581350672,0.03694399290675336,0.20934929313826905,0.049258657209004485
The Murder on the Links,1923,03_The Murder on the Links_1923,0.0,0.0328931138266204,0.0328931138266204,0.09867934147986118,0.16446556913310198,0.1315724553064816,0.1315724553064816,0.09867934147986118,0.18091212604641219,0.34537769517951417,0.16446556913310198,0.0,0.0164465569133102,0.04933967073993059,0.0,0.0,0.2138052398730326,0.04933967073993059,0.1480190122197918,0.08223278456655099,0.1480190122197918,0.16446556913310198,0.09867934147986118,0.2138052398730326,0.0657862276532408
The Man in the Brown Suit,1924,04_The Man in the Brown Suit_1924,0.0,0.07892452184893847,0.15784904369787695,0.09207860882376154,0.13154086974823076,0.026308173949646154,0.013154086974823077,0.0,0.06577043487411538,0.13154086974823076,0.039462260924469236,0.026308173949646154,0.013154086974823077,0.026308173949646154,0.0,0.0,0.026308173949646154,0.013154086974823077,0.0,0.0,0.039462260924469236,0.05261634789929231,0.05261634789929231,0.026308173949646154,0.10523269579858462
The Secret of Chimneys,1925,05_The Secret of Chimneys_1925,0.0,0.013252580940138092,0.026505161880276185,0.03975774282041428,0.07951548564082855,0.05301032376055237,0.14577839034151902,0.013252580940138092,0.05301032376055237,0.13252580940138092,0.026505161880276185,0.05301032376055237,0.13252580940138092,0.0,0.013252580940138092,0.0,0.09276806658096665,0.013252580940138092,0.07951548564082855,0.0,0.21204129504220948,0.11927322846124283,0.07951548564082855,0.03975774282041428,0.026505161880276185
The Murder of Roger Ackroyd,1926,06_The Murder of Roger Ackroyd_1926,0.042323862193504695,0.09875567845151097,0.08464772438700939,0.028215908129003132,0.08464772438700939,0.07053977032250783,0.0,0.09875567845151097,0.11286363251601253,0.35269885161253917,0.028215908129003132,0.23983521909652664,0.056431816258006265,0.014107954064501566,0.056431816258006265,0.056431816258006265,0.16929544877401878,0.16929544877401878,0.18340340283852036,0.0,0.12697158658051408,0.648965886967072,0.16929544877401878,0.07053977032250783,0.0
The Big Four,1927,07_The Big Four_1927,0.1942056107766459,0.03531011105029925,0.26482583287724437,0.08827527762574813,0.12358538867604738,0.017655055525149625,0.0,0.017655055525149625,0.017655055525149625,0.15889549972634665,0.0706202221005985,0.052965166575448884,0.22951572182694516,0.15889549972634665,0.03531011105029925,0.08827527762574813,0.08827527762574813,0.0,0.0,0.03531011105029925,0.3177909994526933,0.141240444201197,0.08827527762574813,0.1942056107766459,0.052965166575448884
The Mystery of the Blue Train,1928,08_The Mystery of the Blue Train_1928,0.0,0.028232636928289104,0.05646527385657821,0.04234895539243365,0.0,0.014116318464144552,0.0,0.0,0.028232636928289104,0.15527950310559008,0.07058159232072275,0.014116318464144552,0.04234895539243365,0.0,0.0,0.0,0.05646527385657821,0.1693958215697346,0.028232636928289104,0.0,0.014116318464144552,0.028232636928289104,0.028232636928289104,0.014116318464144552,0.07058159232072275
The Seven Dials Mystery,1929,09_The Seven Dials Mystery_1929,0.014780218156019983,0.029560436312039966,0.14780218156019984,0.029560436312039966,0.029560436312039966,0.044340654468059945,0.029560436312039966,0.014780218156019983,0.044340654468059945,0.014780218156019983,0.08868130893611989,0.10346152709213988,0.07390109078009992,0.0,0.014780218156019983,0.05912087262407993,0.0,0.014780218156019983,0.0,0.044340654468059945,0.20692305418427975,0.07390109078009992,0.14780218156019984,0.20692305418427975,0.10346152709213988
The Murder at the Vicarage,1930,10_The Murder at the Vicarage_1930,0.0,0.04245743641998896,0.07076239403331494,0.014152478806662986,0.056609915226651944,0.07076239403331494,0.11321983045330389,0.08491487283997792,0.09906735164664092,0.4104218853932266,0.014152478806662986,0.09906735164664092,0.11321983045330389,0.056609915226651944,0.19813470329328184,0.0,0.2122871820999448,0.1273723092599669,0.056609915226651944,0.028304957613325972,0.5094892370398676,0.8633012072064422,0.09906735164664092,0.028304957613325972,0.04245743641998896
The Sittaford Mystery,1931,11_The Sittaford Mystery_1931,0.015459295674489068,0.030918591348978137,0.030918591348978137,0.030918591348978137,0.061837182697956274,0.015459295674489068,0.030918591348978137,0.0,0.13913366107040162,0.2937266178152923,0.10821506972142349,0.0,0.13913366107040162,0.061837182697956274,0.2473487307918251,0.09275577404693441,0.13913366107040162,0.09275577404693441,0.0,0.0,0.17005225241937977,0.12367436539591255,0.09275577404693441,0.12367436539591255,0.061837182697956274
Peril at End House,1932,12_Peril at End House_1932,0.09034892755822989,0.05420935653493793,0.23490721165139772,0.07227914204658391,0.14455828409316782,0.0,0.0,0.018069785511645977,0.09034892755822989,0.3252561392096276,0.10841871306987585,0.0,0.0,0.018069785511645977,0.018069785511645977,0.0,0.4878842088144414,0.05420935653493793,0.036139571023291954,0.12648849858152184,0.46981442330279544,0.018069785511645977,0.05420935653493793,0.0,0.036139571023291954
Lord Edgware Dies,1933,13_Lord Edgware Dies_1933,0.015204038192543939,0.060816152770175755,0.1520403819254394,0.015204038192543939,0.09122422915526363,0.0,0.030408076385087877,0.04561211457763181,0.12163230554035151,0.33448884023596664,0.09122422915526363,0.6385696040868455,0.04561211457763181,0.0,0.18244845831052725,0.0,0.3648969166210545,0.39530499300614247,0.015204038192543939,0.060816152770175755,0.12163230554035151,0.12163230554035151,0.030408076385087877,0.18244845831052725,0.0760201909627197
Why Didn't They Ask Evans,1934,14_Why Didn't They Ask Evans_1934,0.031085827971028008,0.23314370978271007,0.7616027852901862,0.07771456992757002,0.15542913985514004,0.015542913985514004,0.031085827971028008,0.0,0.046628741956542014,0.07771456992757002,0.12434331188411203,0.062171655942056016,0.031085827971028008,0.046628741956542014,0.015542913985514004,0.0,0.07771456992757002,0.046628741956542014,0.015542913985514004,0.0,0.12434331188411203,0.2797724517392521,0.12434331188411203,0.18651496782616805,0.15542913985514004
Murder on the Orient Express,1934,15_Murder on the Orient Express_1934,0.0,0.03343195760827775,0.0668639152165555,0.10029587282483325,0.2173077244538054,0.16715978804138876,0.0668639152165555,0.03343195760827775,0.11701185162897212,0.5850592581448607,0.050147936412416626,0.016715978804138876,0.016715978804138876,0.2005917456496665,0.0,0.016715978804138876,0.25073968206208314,0.45133142771174967,0.0,0.0,0.016715978804138876,0.016715978804138876,0.25073968206208314,0.08357989402069438,0.050147936412416626
Three Act Tragedy,1935,16_Three Act Tragedy_1935,0.3103234259706227,0.13792152265361007,0.32756361630232395,0.03448038066340252,0.051720570995103785,0.01724019033170126,0.01724019033170126,0.01724019033170126,0.15516171298531134,0.3448038066340252,0.1724019033170126,0.6896076132680504,0.051720570995103785,0.03448038066340252,0.0,0.0,0.4482449486242328,0.03448038066340252,0.03448038066340252,0.01724019033170126,0.051720570995103785,0.0862009516585063,0.0,0.0862009516585063,0.03448038066340252
Death in the Clouds,1935,17_Death in the Clouds_1935,0.38148946757339525,0.09951899154088573,0.03317299718029524,0.04975949577044286,0.19903798308177145,0.03317299718029524,0.01658649859014762,0.03317299718029524,0.13269198872118096,0.49759495770442863,0.13269198872118096,0.0829324929507381,0.01658649859014762,0.0,0.01658649859014762,0.0,0.2819704760325095,0.06634599436059048,0.09951899154088573,0.01658649859014762,0.0,0.03317299718029524,0.03317299718029524,0.11610549013103333,0.06634599436059048
The ABC Murders,1936,18_The ABC Murders_1936,0.0,0.03365983372042142,0.0,0.23561883604294995,0.1682991686021071,0.03365983372042142,0.18512908546231782,0.01682991686021071,0.06731966744084283,1.0602847621932747,0.10097950116126427,0.06731966744084283,0.01682991686021071,0.03365983372042142,0.0,0.11780941802147497,0.18512908546231782,0.11780941802147497,0.01682991686021071,0.05048975058063213,0.01682991686021071,0.01682991686021071,0.01682991686021071,0.01682991686021071,0.03365983372042142
